id_dep,name,party,UF,twitter_account
297,Deputado Leônidas Cristino,PDT,CE,joseleonidas
298,Deputado Leur Lomanto Júnior,DEM,BA,LeurLomantoJr
299,Deputada Lídice Da Mata,PSB,BA,lidicedamata
300,Deputado Lincoln Portela,PL,MG,lincoln_portela
301,Deputada Liziane Bayer,PSB,RS,LizianeBayer
302,Deputado Loester Trutis,PSL,MS,LTrutis
303,Deputado Lourival Gomes,PSL,RJ,LourivalGomesrj
304,Deputado Lucas Gonzalez,NOVO,MG,lucasvgonzalez
305,Deputado Lucas Redecker,PSDB,RS,LucasRedecker
306,Deputado Lucas Vergilio,SOLIDARIEDADE,GO,LucasVergilioGO
307,Deputado Luciano Bivar,PSL,PE,Luciano_Bivar
308,Deputado Luciano Ducci,PSB,PR,LucianoDucci
309,Deputado Lucio Mosquini,MDB,RO,luciomosquini
310,Deputada Luisa Canziani,PTB,PR,luisa_canziani
311,Deputado Luis Miranda,DEM,DF,LuisMirandaUSA
312,Deputado Luis Tibé,AVANTE,MG,LuisTibeOficial
313,Deputada Luiza Erundina,PSOL,SP,luizaerundina
314,Deputado Luiz Antônio Corrêa,PL,RJ,depluizantonio
315,Deputado Luizão Goulart,REPUBLICANOS,PR,luizaogoulart
316,Deputado Luiz Carlos,PSDB,AP,DepLuizCarlos
317,Deputado Luiz Carlos Motta,PL,SP,lcm_motta
318,Deputado Luiz Lima,PSL,RJ,Oficialluizlima
319,Deputado Luiz Nishimori,PL,PR,LuizNishimori
320,Deputado Luiz Philippe De Orleans E Bragança,PSL,SP,lpbragancabr
321,Deputada Magda Mofatto,PL,GO,Magdamofatto
322,Deputada Major Fabiana,PSL,RJ,majorfabianadep
323,Deputada Mara Rocha,PSDB,AC,mararocha4545
324,Deputado Marcelo Álvaro Antônio,PSL,MG,no-twitter
325,Deputado Marcelo Aro,PP,MG,marceloaro
326,Deputado Marcelo Brum,PSL,RS,Marcelobrumdep
327,Deputado Marcelo Calero,CIDADANIA,RJ,caleromarcelo
328,Deputado Marcelo Freixo,PSOL,RJ,MarceloFreixo
329,Deputado Marcelo Moraes,PTB,RS,no-twitter
330,Deputado Marcelo Nilo,PSB,BA,depmarcelonilo
331,Deputado Marcelo Ramos,PL,AM,marceloramosam
332,Deputado Marcel Van Hattem,NOVO,RS,marcelvanhattem
333,Deputado Marcio Alvino,PL,SP,AlvinoMarcio
334,Deputado Márcio Biolchi,MDB,RS,marciobiolchi
335,Deputado Márcio Labre,PSL,RJ,marciolabre
336,Deputado Márcio Marinho,REPUBLICANOS,BA,dpmarciomarinho
337,Deputado Marco Bertaiolli,PSD,SP,MarcoBertaiolli
338,Deputado Marcon,PT,RS,depmarcon
339,Deputado Marcos Aurélio Sampaio,MDB,PI,MarcosA_Sampaio
340,Deputado Marcos Pereira,REPUBLICANOS,SP,marcospereira04
341,Deputada Margarete Coelho,PP,PI,MargaretCoelho
342,Deputada Maria Do Rosário,PT,RS,mariadorosario
343,Deputada Mariana Carvalho,PSDB,RO,DeputadaMariana
344,Deputada Maria Rosas,REPUBLICANOS,SP,mariarosassp
345,Deputada Marília Arraes,PT,PE,MariliaArraes
346,Deputada Marina Santos,SOLIDARIEDADE,PI,no-twitter
347,Deputado Mário Heringer,PDT,MG,mario_heringer
348,Deputado Mário Negromonte Jr.,PP,BA,JrNegromonte
349,Deputado Marlon Santos,PDT,RS,deputado_marlon
350,Deputado Marreca Filho,PATRIOTA,MA,depmarrecafilho
351,Deputado Marx Beltrão,PSD,AL,marxbeltrao
352,Deputado Maurício Dziedricki,PTB,RS,mauricioptbrs
353,Deputado Mauro Benevides Filho,PDT,CE,mauro_bfilho
354,Deputado Mauro Lopes,MDB,MG,depmaurolopes
355,Deputado Mauro Nazif,PSB,RO,drmauronazif
356,Deputado Merlong Solano,PT,PI,MerlongSolano
357,Deputado Miguel Lombardi,PL,SP,DMiguellombardi
358,Deputado Milton Coelho,PSB,PE,no-twitter
359,Deputado Milton Vieira,REPUBLICANOS,SP,MiltonVieiraOfc
360,Deputado Misael Varella,PSD,MG,no-twitter
361,Deputado Moses Rodrigues,MDB,CE,DepFederalMoses
362,Deputada Natália Bonavides,PT,RN,natbonavides
363,Deputado Nelson Barbudo,PSL,MT,nelsonbarbudo
364,Deputado Nereu Crispim,PSL,RS,nereucrispim
365,Deputado Neri Geller,PP,MT,NeriGeller
366,Deputado Neucimar Fraga,PSD,ES,no-twitter
367,Deputado Newton Cardoso Jr,MDB,MG,newton1510
368,Deputado Nicoletti,PSL,RR,depnicoletti
369,Deputado Nilson Pinto,PSDB,PA,DepNilsonPinto
370,Deputado Nilto Tatto,PT,SP,NiltoTatto
371,Deputado Nivaldo Albuquerque,PTB,AL,NivaldoAlbuque
372,Deputada Norma Ayub,DEM,ES,no-twitter
373,Deputado Odair Cunha,PT,MG,odaircunhamg
374,Deputado Olival Marques,DEM,PA,OLIVALMARQUES
375,Deputado Orlando Silva,PCdoB,SP,orlandosilva
376,Deputado Osires Damaso,PSC,TO,deposiresdamaso
377,Deputado Osmar Terra,MDB,RS,OsmarTerra
378,Deputado Ossesio Silva,REPUBLICANOS,PE,OssesioSilva
379,Deputado Otoni De Paula,PSC,RJ,OtoniDepFederal
380,Deputado Ottaci Nascimento,SOLIDARIEDADE,RR,no-twitter
381,Deputado Otto Alencar Filho,PSD,BA,OttoAlencarFilh
382,Deputado Padre João,PT,MG,dep_padrejoao
383,Deputado Pastor Eurico,PATRIOTA,PE,DEPPASTOREURICO
384,Deputado Pastor Gil,PL,MA,pastorgil_
385,Deputado Pastor Sargento Isidório,AVANTE,BA,prisidorio
386,Deputado Patrus Ananias,PT,MG,Patrus_Ananias
387,Deputada Paula Belmonte,CIDADANIA,DF,paulambelmonte
388,Deputado Paulão,PT,AL,paulaodopt
389,Deputado Paulo Abi-ackel,PSDB,MG,pauloabiackel
390,Deputado Paulo Azi,DEM,BA,PauloAzi
391,Deputado Paulo Bengtson,PTB,PA,PauloBengtson
392,Deputado Paulo Eduardo Martins,PSC,PR,PauloMartins10
393,Deputado Paulo Freire Costa,PL,SP,DF_PauloFreire
394,Deputado Paulo Ganime,NOVO,RJ,pauloganime
395,Deputado Paulo Guedes,PT,MG,deppauloguedes
396,Deputado Paulo Magalhães,PSD,BA,no-twitter
397,Deputado Paulo Pereira Da Silva,SOLIDARIEDADE,SP,dep_paulinho
398,Deputado Paulo Pimenta,PT,RS,DeputadoFederal
399,Deputado Paulo Ramos,PDT,RJ,deppauloramosrj
400,Deputado Paulo Teixeira,PT,SP,pauloteixeira13
401,Deputado Pedro Augusto Bezerra,PTB,CE,PedroABezerra
402,Deputado Pedro Augusto Palareti,PSD,RJ,no-twitter
403,Deputado Pedro Cunha Lima,PSDB,PB,pedroocl
